name,url,remote_support,adaptive_support,test_types,description
Retail Sales Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/retail-sales-associate-solution/,Yes,Yes,"['A', 'B', 'P']",Retail Sales Associate Solution: The Retail Sales Associate solution is for entry-level retail positions in which employees proactively sell products to customers and have their pay and/or…
Sales Director Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-director-solution/,Yes,Yes,"['A', 'B', 'P']",Sales Director Solution: The Sales Director solution is for mid- to senior-level sales management positions that oversee the sales function across multiple offices or geographic…
Sales Engineer Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-engineer-solution/,Yes,Yes,"['A', 'B', 'K', 'P', 'S']",Sales Engineer Solution: The Sales Engineer solution is designed for use with professional level telecommunications engineers with distinct sales responsibilities. The solution is…
Sales Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-manager-solution/,Yes,Yes,"['A', 'B', 'P']",Sales Manager Solution: The Sales Manager solution is an assessment used for applying to entry to mid-level sales leadership positions that generally manage employees and have a…
Sales Professional 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-professional-7-0-solution/,Yes,No,"['C', 'B']","Sales Professional 7.0 Solution: Our Sales Professional 7.0 solution is designed for entry to mid-level sales positions in which employees proactively sell products to customers, develop…"
Sales Professional 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/sales-professional-7-1-%28americas%29/,Yes,No,"['B', 'C']","Sales Professional 7.1 (Americas): Our Sales Professional 7.1 solution is designed for entry to mid-level sales positions in which employees proactively sell products to customers, develop…"
Sales Professional Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-professional-solution/,Yes,Yes,"['A', 'B', 'P']","Sales Professional Solution: The Sales Professional solution is for entry to mid-level sales positions in which employees proactively sell products to customers, develop relationships with…"
Sales Representative Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-representative-solution/,Yes,Yes,"['A', 'B', 'P']",Sales Representative Solution: The Sales Representative solution is for entry-level sales positions in which employees proactively sell products to customers and have their pay and/or…
Sales Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-supervisor-solution/,Yes,Yes,"['A', 'B', 'P']",Sales Supervisor Solution : The Sales Supervisor solution is an assessment used for job candidates applying to entry-level sales leadership positions that generally supervise employees…
Sales Support Specialist Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-support-specialist-solution/,Yes,Yes,"['A', 'B', 'P']",Sales Support Specialist Solution: The Sales Support Specialist solution is for entry to mid-level sales support positions in which employees work primarily under the guidance of an account…
Senior Insurance Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/senior-insurance-agent-solution/,Yes,No,"['A', 'B', 'P']","Senior Insurance Agent Solution: The Senior Insurance Agent solution is for senior-level professional positions in the insurance industry that sell a portfolio of insurance products, including…"
Senior Sales Professional Solution,https://www.shl.com/solutions/products/product-catalog/view/senior-sales-professional-solution/,Yes,Yes,"['A', 'B', 'P']","Senior Sales Professional Solution : The Senior Sales Professional solution is for high-level sales positions in which employees proactively sell products to customers, develop relationships with…"
Server Solution,https://www.shl.com/solutions/products/product-catalog/view/server-solution/,Yes,Yes,"['B', 'A', 'P']","Server Solution: The Server solution is designed for entry-level positions in the hospitality industry. Sample tasks include greeting customers, taking customer food and drink…"
Service Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/service-associate-solution/,Yes,Yes,"['A', 'B', 'P']",Service Associate Solution: The Service Associate is designed for entry-level positions that are primarily task focused but may include a customer service component. The solution covers a…
Service Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/service-supervisor-solution/,Yes,Yes,"['A', 'B', 'P']",Service Supervisor Solution: The Service Supervisor solution is designed for entry-level leadership positions in the hospitality industry that oversee hourly and salaried employees in…
Stock Clerk Solution,https://www.shl.com/solutions/products/product-catalog/view/stock-clerk-solution/,Yes,No,"['A', 'B', 'P']",Stock Clerk Solution: The Stock Clerk solution is for entry-level retail positions in which employees work primarily in the stockroom handling incoming and outgoing shipment and…
Store Manager 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/store-manager-7-0-solution/,Yes,No,"['B', 'C']",Store Manager 7.0 Solution: Our Store Manager 7.0 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees in a retail or…
Store Manager 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/store-manager-7-1-%28americas%29/,Yes,No,"['B', 'C']",Store Manager 7.1 (Americas): Our Store Manager 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees in a retail or…
Store Manager 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/store-manager-7-1-%28international%29/,Yes,No,"['C', 'B']",Store Manager 7.1 (International): Our Store Manager 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees in a retail or…
Store Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/store-manager-solution/,Yes,Yes,"['A', 'B', 'P']",Store Manager Solution: The Store Manager solution is an assessment used for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample…
Supervisor - Short Form,https://www.shl.com/solutions/products/product-catalog/view/supervisor-short-form/,Yes,Yes,['S'],Supervisor - Short Form: The Supervisor solution is an assessment used for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample…
Supervisor 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/supervisor-7-0-solution/,Yes,No,"['B', 'C']",Supervisor 7.0 Solution: Our Supervisor 7.0 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for…
Supervisor 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/supervisor-7-1-%28americas%29/,Yes,No,"['B', 'C', 'P']",Supervisor 7.1 (Americas): Our Supervisor 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for…
Supervisor 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/supervisor-7-1-%28international%29/,Yes,No,"['P', 'C', 'B']",Supervisor 7.1 (International): Our Supervisor 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for…
Support Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/support-associate-solution/,Yes,Yes,"['A', 'B', 'P']",Support Associate Solution: The Support Associate solution is designed for entry-level positions that involve little to no interaction with customers. The solution covers a wide variety…
Support Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/support-supervisor-solution/,Yes,Yes,"['A', 'P', 'S', 'B']",Support Supervisor Solution: The Support Supervisor solution is designed for entry-level leadership positions in the hospitality industry that oversee hourly employees in non-customer…
Technical Sales Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/technical-sales-associate-solution/,Yes,No,"['A', 'B', 'P']",Technical Sales Associate Solution: The Technical Sales Associate solution is for entry-level retail positions in which employees proactively sell a specific line of products that requires…
Technician/Technologist Solution,https://www.shl.com/solutions/products/product-catalog/view/techniciantechnologist-solution/,Yes,Yes,"['A', 'B', 'P']",Technician/Technologist Solution: The Technician/Technologist solution is for positions in a healthcare environment that perform medical tests to aide in the treatment of patients.  Sample…
Technology Professional 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/technology-professional-8-0-job-focused-assessment/,Yes,No,"['C', 'P']","Technology Professional 8.0 Job Focused Assessment: The Technology Job Focused Assessment assesses  key behavioral attributes  required for success in fast-paced, rapidly evolving  technology environments…"
Telenurse Solution,https://www.shl.com/solutions/products/product-catalog/view/telenurse-solution/,Yes,Yes,"['A', 'B', 'P']","Telenurse Solution: The Telenurse solution is for positions in a healthcare environment that interact with patients over the telephone.  Sample tasks for this job include, but are…"
Teller 7.0,https://www.shl.com/solutions/products/product-catalog/view/teller-7-0/,Yes,Yes,"['B', 'K', 'P', 'S']","Teller 7.0: Teller or cashier positions are integral to financial institutions as they conduct numerous banking transactions each day, as well as being the face of the…"
Teller with Sales - Short Form,https://www.shl.com/solutions/products/product-catalog/view/teller-with-sales-short-form/,Yes,No,"['A', 'B', 'K', 'P', 'S']","Teller with Sales - Short Form: The Teller solution with Sales is for entry-level financial institution teller positions. Sample tasks for this job would include, but are not limited to…"
Transcriptionist Solution,https://www.shl.com/solutions/products/product-catalog/view/transcriptionist-solution/,Yes,Yes,"['A', 'B', 'K', 'P']",Transcriptionist Solution: The Transcriptionist solution is for entry-level clerical roles in a healthcare environment that require employees to translate medical information.  Sample…
Workplace Safety - Individual 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-individual-7-0-solution/,Yes,No,['B'],Workplace Safety - Individual 7.0 Solution: Our Workplace Safety - Individual 7.0 solution is designed for entry-level positions and measures the behaviors and experiences that underlie successful and…
Workplace Safety - Individual 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-individual-7-1-solution/,Yes,No,['B'],Workplace Safety - Individual 7.1 (Americas): Our Workplace Safety - Individual 7.1 solution is designed for entry-level positions and measures the behaviors and experiences that underlie successful and…
Workplace Safety - Team 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-team-7-0-solution/,Yes,No,['B'],Workplace Safety - Team 7.0 Solution: The Workplace Safety – Team 7.0 solution is designed for entry-level positions to measure the competencies and experiences that underlie successful and safe…
Workplace Safety - Team 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-team-7-1-%28americas%29/,Yes,No,"['B', 'C', 'P']",Workplace Safety - Team 7.1 (Americas): The Workplace Safety – Team 7.1 solution is designed for entry-level positions to measure the competencies and experiences that underlie successful and safe…
Workplace Safety - Team 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-team-7-1-solution/,Yes,No,"['B', 'C', 'P']",Workplace Safety - Team 7.1 (International): The Workplace Safety – Team 7.1 solution is designed for entry-level positions to measure the competencies and experiences that underlie successful and safe…
Workplace Safety Solution,https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-solution/,Yes,Yes,"['B', 'P']",Workplace Safety Solution: The Workplace Safety Solution is designed for entry-level positions to measure the competencies and experiences that underlie successful and safe performance…
